,id,y,x1,x2,x3,x4,x5,x7,x8,x9,x10,x6_2,x6_3,x6_4,x6_5,x6_6,x6_7
0,0,2,-0.78103,-0.63375,-0.03665,0.27516999999999997,0,-1.85755,0.22668000000000002,-2.3513,1.4209200000000002,0,0,0,0,0,0
1,1,2,0.42649,-0.50019,0.006959999999999999,0.11817000000000001,0,-1.7376099999999999,-1.61015,-5.12219,1.87723,0,0,0,0,0,0
2,2,1,1.86817,-0.45565,0.07658,0.09662000000000001,0,1.02798,-0.9232600000000001,-1.6711099999999999,2.07828,0,0,0,0,0,0
3,3,1,-1.80073,0.08535,-0.024669999999999997,0.14032,0,2.02793,-0.46318000000000004,2.41329,-0.62963,0,0,0,0,0,0
4,4,2,1.56943,-1.2586,-0.020919999999999998,0.22266999999999998,0,-0.43304,-1.9988099999999998,-1.58241,2.28423,0,0,0,0,0,0
5,5,3,0.14361,-0.37353,-1.01562,1.0036399999999999,0,-0.052079999999999994,0.2106,-0.29281999999999997,3.84481,0,0,0,0,0,0
6,6,2,-0.34399,-1.16045,0.21745,0.07107000000000001,0,-0.6702899999999999,0.03244,-3.17673,1.74463,0,0,0,0,0,0
7,7,2,-0.05407,-0.47607,-0.5684100000000001,0.6520699999999999,0,-1.85532,-0.6370600000000001,-0.44893999999999995,2.5857200000000002,0,0,0,0,0,0
8,8,1,-0.71673,-0.27256,-0.38471,0.50048,0,-1.4087,1.59564,-1.92357,0.05368,0,0,0,0,0,0
9,9,2,-0.13301,0.31355,-0.92791,0.8810100000000001,0,0.25196,-0.25724,-1.00409,1.1589200000000002,0,0,0,0,0,0
10,10,1,-1.12513,-0.24434,-0.94695,0.95083,0,0.06075,-0.879,0.7119300000000001,1.96878,0,0,0,0,0,0
11,11,2,0.78906,0.40426,-0.00116,0.10488,1,-0.82565,-2.05912,-2.0770299999999997,-1.22726,0,1,0,0,0,0
12,12,2,-0.7181,-0.56698,-0.43278,0.53287,0,-1.65993,-1.7441200000000001,-3.09878,2.17475,0,0,0,0,0,0
13,13,1,2.16735,0.93905,-1.03496,1.03196,0,2.65571,0.8256899999999999,2.71017,3.20733,0,0,0,0,0,1
14,14,2,0.93449,-1.06762,-0.15542,0.25597,0,-0.2444,-0.60596,-1.5751899999999999,-0.78049,0,0,0,0,0,0
15,15,1,-0.13716,0.98807,-0.47833000000000003,0.5532699999999999,1,-2.87855,2.23037,-1.6690900000000002,0.71396,0,0,0,0,0,1
16,16,2,1.64086,-0.83674,-0.0888,0.1754,0,-0.4667,-0.49663999999999997,-3.65289,2.70455,0,0,0,0,0,0
17,17,3,-0.24657,-0.07476,-1.12696,1.0254299999999998,0,1.91186,-0.11404,3.8505,-0.50942,0,0,0,0,0,0
18,18,2,-1.39105,1.68688,0.03726,0.04848,1,-1.4570299999999998,0.62032,-0.60832,1.04426,0,0,0,0,0,1
19,19,1,-2.96708,1.62705,-1.1127,1.19202,1,1.1822700000000002,1.09713,-2.8081099999999997,0.95783,0,0,0,0,0,1
20,20,1,-0.67375,1.40739,-1.26911,1.2473299999999998,1,1.13731,-0.45064,-2.8185599999999997,1.7421900000000001,0,0,0,0,0,1
21,21,2,-1.96784,1.61617,-0.16492,0.32093,1,-0.72129,-0.9556100000000001,-1.74375,-0.136,0,0,0,0,0,1
22,22,3,0.65774,-0.70778,-0.37127,0.37774,0,1.48514,-0.78172,-1.02457,0.49156000000000005,0,0,0,0,0,0
24,24,1,-0.474,0.19012,-0.18707000000000001,0.25444,0,1.38232,-2.1899900000000003,1.1064100000000001,0.45273,0,0,0,0,0,0
25,25,2,-2.09138,0.25866,-0.0818,0.3252,0,-0.34057,-1.99291,-2.7488799999999998,2.42036,0,1,0,0,0,0
26,26,2,-1.08743,-1.89897,-0.1762,0.25431,0,-0.77883,-1.1501700000000001,-2.5321700000000003,-0.74603,0,0,0,0,0,0
27,27,1,0.08786,1.01337,-0.35291,0.51647,1,1.8600599999999998,-0.21700999999999998,4.078,0.842,0,0,0,0,0,1
28,28,2,-1.12978,0.5158,-0.53877,0.66559,0,-1.60657,0.01494,-2.58359,-1.38839,0,0,1,0,0,0
29,29,2,-0.16543,-0.70473,-0.46031000000000005,0.47043,0,-0.60226,-0.8168,-3.16066,2.00106,0,0,0,0,0,0
30,30,1,-1.32451,0.3011,-0.46537,0.56381,0,-0.62157,0.32022,1.96216,-1.34681,0,0,0,0,0,0
31,31,1,1.09668,-0.9142,-1.1666100000000001,1.14514,0,2.4323599999999996,0.61535,-1.06995,0.47523000000000004,0,0,0,0,0,0
32,32,1,-0.19837,-0.67116,-0.8463700000000001,0.93626,0,2.09823,2.29187,1.43991,2.27188,0,0,0,0,0,0
33,33,2,-1.64125,0.34392,0.25533,0.03793,1,-0.8687799999999999,-1.03754,-2.56622,2.83771,0,0,1,0,0,0
34,34,2,-1.12006,-1.07706,0.34025,-0.05196,0,-0.43473,-0.9343,0.37978,3.6000400000000004,0,0,0,0,0,0
35,35,1,0.10616,0.05749,-1.1927,1.15267,0,-0.20049,1.52404,-1.2224700000000002,-0.33049,0,0,0,0,0,0
36,36,3,-0.17524,-0.15052,-0.6753100000000001,0.76837,0,0.43078999999999995,0.6603899999999999,-0.44814,2.50769,0,0,0,0,0,0
37,37,2,-0.56264,0.07933,0.046,0.2546,0,-0.36062,-1.14143,-0.99759,0.8914700000000001,0,0,0,0,0,0
38,38,1,-1.81644,2.0342,-1.19615,1.25226,1,3.26342,-2.12585,-2.646,2.6010299999999997,0,0,0,0,0,1
39,39,2,-1.30379,0.63647,0.17536,0.00282,1,-1.31071,-1.03741,-0.6231399999999999,2.95844,0,0,0,0,1,0
40,40,2,0.87676,0.46489,-0.58704,0.60433,0,-0.61551,-0.42478,-2.1159,-1.00429,1,0,0,0,0,0
41,41,1,1.4397,-0.17389,-0.9330200000000001,0.99692,0,1.03803,1.3214299999999999,-3.08643,0.89974,0,0,0,0,0,0
42,42,2,0.76226,-1.03348,-0.25834,0.50252,0,-1.10255,-0.92351,-2.23489,1.1379299999999999,0,0,0,0,0,0
43,43,2,2.7511,-1.354,-0.10223,0.28244,0,-1.45894,-2.35739,-3.1156099999999998,-0.43141999999999997,0,0,0,0,0,0
44,44,1,2.34596,-0.9631,-0.0516,0.16404000000000002,0,0.37327,-2.32186,-1.91248,1.49936,0,0,0,0,0,0
45,45,1,0.81662,1.59987,0.20332999999999998,-0.0364,1,2.81806,0.27960999999999997,-1.47327,0.8242700000000001,0,0,0,0,0,1
46,46,2,1.18802,2.08756,0.10172,0.12908,1,-1.01709,-0.7411399999999999,-1.84328,0.30839,0,0,0,0,0,1
47,47,2,-2.99311,0.58453,-0.7618,0.76348,0,-1.32469,-0.12566,-1.7189599999999998,1.4208,0,1,0,0,0,0
48,48,1,-1.08398,-1.10429,-0.21877,0.3426,0,2.1644,0.9986799999999999,0.71558,-0.95585,0,0,0,0,0,0
49,49,1,-0.17204,1.13238,-0.09657,0.21565,1,1.25841,2.94007,1.59695,1.91545,0,0,0,0,0,1
50,50,2,1.3914,-0.1328,-0.30976,0.49806000000000006,0,-1.6486900000000002,-0.7430399999999999,0.39066,0.83939,0,0,0,0,0,0
52,52,3,1.01848,-2.58502,-0.99866,0.9122399999999999,0,-0.18467,-0.36754000000000003,0.23433,0.52235,0,0,0,0,0,0
53,53,2,-2.38085,1.86357,-0.9283399999999999,0.86275,1,-2.24266,-0.19563,-1.8943299999999998,1.67439,0,0,0,0,0,1
54,54,2,-0.23641,0.32067,-0.3518,0.49477,0,-2.37672,-1.21596,-1.5763200000000002,0.98693,1,0,0,0,0,0
55,55,2,-1.82425,1.09739,-0.01635,0.10207999999999999,1,-0.6327,-0.7508699999999999,-3.07518,0.77131,0,0,0,0,0,1
56,56,2,3.32967,-1.65934,-0.60658,0.6413300000000001,0,-1.7343400000000002,-1.02147,-1.10214,1.93451,0,0,0,0,0,0
57,57,3,0.68155,-1.19906,-0.88359,0.81497,0,1.88883,-0.9061600000000001,-2.75779,0.2084,0,0,0,0,0,0
58,58,2,1.84843,-0.83837,0.04493,0.12768,0,-1.0546200000000001,-0.06601,-3.5348,0.07404,0,0,0,0,0,0
59,59,2,0.9039,1.15982,-0.51144,0.60936,1,-1.66871,-1.37419,-2.0407599999999997,0.42763,0,0,0,0,0,1
60,60,2,0.29566,-0.28688,0.15897999999999998,-0.028860000000000004,0,-1.30558,-1.4511100000000001,-2.44792,1.2596,0,0,0,0,0,0
61,61,2,1.55554,0.66099,0.040780000000000004,0.1901,1,-1.59448,-0.86625,-2.75147,-1.2635,0,0,0,0,1,0
62,62,2,0.42041,0.40533,-0.5416,0.54928,0,-1.2570299999999999,-1.58464,-2.61084,1.0482,1,0,0,0,0,0
